PID,trial,response,rt,accuracy,display,filename,shape_type,colour_type,target_color,distractor_color,quadrant,num_distractors,answer,distractor_bin,bin_group
91,49.0,1,1087.2000000715489,1,Task,image_23.jpg,2.0,2Among5Colour,red,green,Quadrant 1,75.0,1.0,65–99,6
91,50.0,2,1153.7999999999884,1,Task,image_16.jpg,2.0,2Among5Colour,green,blue,Quadrant 2,34.0,2.0,33–64,5
91,51.0,4,2893.499999976135,0,Task,image_46.jpg,2.0,2Among5NoColour,red,red,Quadrant 2,65.0,2.0,65–99,6
91,52.0,2,3048.500000071537,1,Task,image_136.jpg,5.0,2Among5ConjRed,red,green,Quadrant 2,34.0,2.0,33–64,5
91,53.0,3,3886.5999999999767,1,Task,image_43.jpg,2.0,2Among5NoColour,blue,blue,Quadrant 3,47.0,3.0,33–64,5
91,54.0,1,2204.500000071537,1,Task,image_123.jpg,5.0,2Among5ConjRed,red,green,Quadrant 1,3.0,1.0,1–4,1
91,55.0,3,2662.3000000715256,1,Task,image_109.jpg,5.0,2Among5NoColour,blue,blue,Quadrant 3,20.0,3.0,17–32,4
91,56.0,3,2786.3000000476604,1,Task,image_106.jpg,5.0,2Among5NoColour,red,red,Quadrant 3,16.0,3.0,9–16,3
91,57.0,3,2020.0999999999767,1,Task,image_30.jpg,2.0,2Among5NoColour,blue,blue,Quadrant 3,7.0,3.0,5–8,2
91,58.0,3,1571.5000000238651,1,Task,image_6.jpg,2.0,2Among5Colour,red,blue,Quadrant 3,7.0,3.0,5–8,2
91,59.0,3,1420.2999999999884,1,Task,image_10.jpg,2.0,2Among5Colour,red,green,Quadrant 3,16.0,3.0,9–16,3
91,60.0,4,2402.8000000715256,1,Task,image_8.jpg,2.0,2Among5Colour,blue,red,Quadrant 4,15.0,4.0,9–16,3
91,61.0,3,2890.8000000476604,1,Task,image_61.jpg,2.0,2Among5ConjRed,red,blue,Quadrant 3,20.0,3.0,17–32,4
91,62.0,3,2680.100000023842,1,Task,image_69.jpg,2.0,2Among5ConjRed,blue,red,Quadrant 3,82.0,3.0,65–99,6
91,63.0,1,1373.3000000715256,1,Task,image_18.jpg,2.0,2Among5Colour,red,blue,Quadrant 1,59.0,1.0,33–64,5
91,64.0,1,1901.7000000238183,1,Task,image_51.jpg,2.0,2Among5ConjRed,red,green,Quadrant 1,3.0,1.0,1–4,1
91,65.0,2,2144.600000071514,1,Task,image_53.jpg,2.0,2Among5ConjRed,green,red,Quadrant 2,5.0,2.0,5–8,2
91,66.0,2,1539.4999999761349,1,Task,image_87.jpg,5.0,2Among5Colour,blue,green,Quadrant 2,26.0,2.0,17–32,4
91,67.0,4,3588.999999976135,0,Task,image_39.jpg,2.0,2Among5NoColour,green,green,Quadrant 2,26.0,2.0,17–32,4
91,68.0,2,1463.5999999761698,1,Task,image_22.jpg,2.0,2Among5Colour,green,blue,Quadrant 2,65.0,2.0,65–99,6
91,69.0,1,1372.6999999761465,1,Task,image_9.jpg,2.0,2Among5Colour,green,blue,Quadrant 1,9.0,1.0,9–16,3
91,70.0,4,1316.4000000476954,1,Task,image_89.jpg,5.0,2Among5Colour,blue,red,Quadrant 4,45.0,4.0,33–64,5
91,71.0,2,1743.7000000715489,1,Task,image_131.jpg,5.0,2Among5ConjRed,blue,red,Quadrant 2,14.0,2.0,9–16,3
91,72.0,3,1042.0999999999767,1,Task,image_21.jpg,2.0,2Among5Colour,blue,green,Quadrant 3,82.0,3.0,65–99,6
91,73.0,3,1454.600000071514,1,Task,image_91.jpg,5.0,2Among5Colour,green,red,Quadrant 3,47.0,3.0,33–64,5
91,74.0,2,3901.799999976181,0,Task,image_117.jpg,5.0,2Among5NoColour,green,green,Quadrant 3,82.0,3.0,65–99,6
91,75.0,4,2905.8000000476604,1,Task,image_104.jpg,5.0,2Among5NoColour,red,red,Quadrant 4,15.0,4.0,9–16,3
91,76.0,4,1693.8000000476604,0,Task,image_132.jpg,5.0,2Among5ConjRed,blue,green,Quadrant 1,23.0,1.0,17–32,4
91,77.0,4,1489.600000023842,1,Task,image_32.jpg,2.0,2Among5NoColour,red,red,Quadrant 4,15.0,4.0,9–16,3
91,78.0,2,1222.600000023842,1,Task,image_77.jpg,5.0,2Among5Colour,red,green,Quadrant 2,5.0,2.0,5–8,2
91,79.0,1,1708.600000071514,1,Task,image_103.jpg,5.0,2Among5NoColour,green,green,Quadrant 1,8.0,1.0,5–8,2
91,80.0,4,1631.9000000000233,1,Task,image_98.jpg,5.0,2Among5NoColour,red,red,Quadrant 4,2.0,4.0,1–4,1
